ax,ay,az,gx,gy,gz,mx,my,mz,phi,theta,psi
-0.026508184,0.07027703,-0.33299017,0.13282897,-0.009502675,0.039573435,-0.2385568,-0.7778392,0.37340367,-0.0301699,-0.0256539,2.73565
-0.027510693,0.0702438,-0.34225774,0.13184768,-0.009328683,0.041626636,-0.23860973,-0.7930956,0.3688823,-0.0301699,-0.0256539,2.73565
-0.027712408,0.07260315,-0.33596468,0.13130727,-0.009289039,0.04124682,-0.23752892,-0.78744507,0.37051427,-0.0301722,-0.0256572,2.73565
-0.027813267,0.073782824,-0.33281827,0.13103707,-0.009269218,0.041056912,-0.23698848,-0.7846197,0.37133014,-0.0301755,-0.0256569,2.73564
-0.027941143,0.07646355,-0.3344097,0.13185734,-0.009483465,0.04102771,-0.23795146,-0.7539712,0.36801493,-0.0301847,-0.0256617,2.73567
-0.027687967,0.07444687,-0.33246398,0.13124391,-0.009511561,0.03902065,-0.2376259,-0.7609252,0.36806393,-0.0301866,-0.0256668,2.73568
-0.02718535,0.07650371,-0.32497025,0.13279574,-0.009703289,0.03966826,-0.23690784,-0.7698773,0.3701023,-0.0301918,-0.025671,2.73566
-0.02693404,0.07753212,-0.32122374,0.13357164,-0.009799153,0.03999206,-0.23654884,-0.77435327,0.3711214,-0.0301913,-0.025676,2.73566
-0.026362946,0.07817469,-0.32859683,0.1325182,-0.009601111,0.041222997,-0.24218494,-0.7686734,0.37155056,-0.0301873,-0.0256833,2.73568
-0.0260774,0.07849597,-0.3322835,0.13199149,-0.00950209,0.041838463,-0.24500299,-0.7658335,0.3717649,-0.030192,-0.0256825,2.73569
-0.025866296,0.07568535,-0.33489418,0.13234186,-0.009401801,0.041715913,-0.24149865,-0.762444,0.37204468,-0.0302031,-0.0256812,2.7357
-0.026120394,0.07292977,-0.33745122,0.13207145,-0.009348912,0.041062966,-0.24102163,-0.7660811,0.36626363,-0.0302026,-0.025682,2.73571
-0.026618794,0.070176356,-0.33259082,0.13350058,-0.00924688,0.039885182,-0.2401278,-0.7441791,0.36388445,-0.0302014,-0.0256802,2.73573
-0.026657602,0.0701452,-0.3308339,0.13415326,-0.0094476,0.040603053,-0.24090272,-0.752573,0.3663721,-0.0301904,-0.0256758,2.73573
-0.026298096,0.06918158,-0.32674384,0.13337342,-0.009296018,0.03959159,-0.24184066,-0.74932206,0.36583757,-0.0301904,-0.0256758,2.73573
-0.025557002,0.06750076,-0.32711196,0.13257192,-0.009270844,0.039501514,-0.24211758,-0.7650602,0.36894298,-0.0301777,-0.0256713,2.73575
-0.025186455,0.06666037,-0.32729602,0.13217118,-0.009258257,0.039456476,-0.24225605,-0.7729292,0.3704958,-0.0301739,-0.0256647,2.73574
-0.024609314,0.0684171,-0.33643866,0.13324516,-0.009202168,0.03939464,-0.24096614,-0.7881768,0.36792827,-0.0301663,-0.0256571,2.73573
-0.026882635,0.069637194,-0.33707404,0.13232693,-0.009250537,0.040216267,-0.24303454,-0.7691014,0.36667895,-0.0301536,-0.025645,2.73573
-0.025075257,0.07012884,-0.3334818,0.13155715,-0.00949924,0.040831536,-0.24190748,-0.75965345,0.37098408,-0.0301553,-0.0256453,2.73574
-0.024395097,0.07377527,-0.33125186,0.1322074,-0.0094261635,0.040441513,-0.24021888,-0.76676095,0.37118304,-0.0301657,-0.025645,2.73576
-0.024055017,0.07559848,-0.330137,0.1325325,-0.009389625,0.040246498,-0.23937458,-0.7703147,0.37128258,-0.030172,-0.0256402,2.73576
-0.025439246,0.0749274,-0.33111405,0.13269024,-0.0094183665,0.040012524,-0.23702836,-0.7756622,0.37741113,-0.0301724,-0.0256393,2.73575
-0.026381645,0.07389914,-0.3297174,0.13235103,-0.00950743,0.040106624,-0.23718691,-0.78460383,0.3715639,-0.0301708,-0.0256392,2.73574
-0.024493247,0.07582113,-0.32972407,0.13184391,-0.009700382,0.039554887,-0.23344076,-0.78321946,0.37280297,-0.0301744,-0.0256405,2.73574
-0.024945896,0.073687226,-0.33134866,0.13116238,-0.009546396,0.039303303,-0.23156768,-0.78252745,0.3734225,-0.0301837,-0.0256388,2.73573
-0.026601948,0.07357688,-0.33538532,0.13125268,-0.009346033,0.039265163,-0.23598677,-0.77767146,0.3706211,-0.0301854,-0.0256384,2.73573
-0.027429974,0.07352172,-0.3374033,0.13129783,-0.009245851,0.039246093,-0.23819631,-0.7752434,0.36922038,-0.0301854,-0.0256384,2.73573
-0.027626818,0.07633372,-0.34329772,0.13070458,-0.009446065,0.03985744,-0.23864251,-0.77058125,0.36918378,-0.0301936,-0.0256308,2.73572
-0.027725238,0.0777397,-0.3462453,0.13040796,-0.009546172,0.04016311,-0.23886561,-0.7682501,0.3691653,-0.0302024,-0.0256294,2.73574
-0.026271531,0.07125537,-0.33828807,0.13214454,-0.009569848,0.03974752,-0.2386334,-0.7739644,0.36680913,-0.0302056,-0.0256275,2.73574
-0.026765691,0.07534831,-0.3354659,0.1317751,-0.00935961,0.04039707,-0.23834771,-0.79910827,0.36783445,-0.0302004,-0.0256264,2.73574
-0.025509018,0.072943486,-0.337739,0.13226852,-0.009475494,0.038872253,-0.23848742,-0.79534197,0.3670485,-0.0301998,-0.0256251,2.73573
-0.024880681,0.071741074,-0.33887553,0.13251522,-0.009533435,0.038109843,-0.23855728,-0.7934587,0.3666557,-0.030199,-0.0256253,2.73572
-0.026207289,0.06809323,-0.3404715,0.13162631,-0.009513938,0.039072163,-0.23832262,-0.7673135,0.36699915,-0.0301948,-0.0256224,2.73573
-0.026870593,0.066269316,-0.3412695,0.13118185,-0.009504189,0.039553326,-0.23820531,-0.754241,0.36717117,-0.0301977,-0.0256224,2.73573
-0.026246335,0.0708735,-0.33581233,0.131055,-0.009450226,0.039493404,-0.23742676,-0.7669356,0.36438143,-0.0301977,-0.0256224,2.73573
-0.025934206,0.0731756,-0.33308387,0.13099156,-0.009423245,0.039463446,-0.23703748,-0.7732829,0.36298656,-0.0301994,-0.0256205,2.73572
-0.02630415,0.07124049,-0.33371258,0.13086833,-0.009435951,0.039857626,-0.23658615,-0.7691591,0.36896837,-0.0302054,-0.0256141,2.73572
-0.025732746,0.073735274,-0.33164668,0.13237754,-0.009365778,0.03959967,-0.23460269,-0.76309776,0.36933923,-0.030205,-0.0256115,2.73571
-0.026305286,0.07288388,-0.3406365,0.13158254,-0.009482018,0.040525742,-0.23485553,-0.8001543,0.37197518,-0.0302095,-0.0256106,2.73571
-0.027622033,0.07127931,-0.33848906,0.13168485,-0.009563525,0.04016423,-0.23412967,-0.78996146,0.3705927,-0.0302112,-0.0256143,2.73571
-0.02651749,0.071126714,-0.33609915,0.13226625,-0.009530167,0.039966844,-0.23546475,-0.7833617,0.36886156,-0.0302105,-0.0256167,2.73571
-0.025896946,0.070181064,-0.3401425,0.13364062,-0.009513881,0.040542006,-0.23594183,-0.7677599,0.37125087,-0.0301931,-0.0256143,2.73571
-0.025586676,0.06970824,-0.34216356,0.1343278,-0.009505738,0.040829588,-0.23618042,-0.7599591,0.37244546,-0.0301896,-0.0256131,2.73572
-0.02682035,0.0718081,-0.33601475,0.13350552,-0.009576612,0.04090494,-0.23941499,-0.7585138,0.37229872,-0.0301908,-0.025614,2.73573
-0.027432866,0.0719537,-0.3288064,0.13318777,-0.009435116,0.040652923,-0.23955041,-0.73758006,0.37543404,-0.030188,-0.0256144,2.73575
-0.02770355,0.07224581,-0.333107,0.13297872,-0.009339345,0.03910972,-0.23901772,-0.7508017,0.37457454,-0.0301859,-0.0256149,2.73575
-0.027045922,0.0744401,-0.3348961,0.13289167,-0.009490954,0.03883169,-0.23620915,-0.7534208,0.37193823,-0.0301827,-0.0256166,2.73574
-0.026717108,0.07553724,-0.33579063,0.13284814,-0.009566758,0.03869267,-0.23480487,-0.75473046,0.37062013,-0.0301801,-0.0256174,2.73575
